14D,1414 DEGREES LIMITED,0.075
1AD,ADALTA LIMITED,0.055
1AE,AURORA ENERGY METALS LIMITED,0.205
1AG,ALTERRA LIMITED ,0.017
1MC,MORELLA CORPORATION LIMITED ,0.017
1ST,1ST GROUP LIMITED ,0.005
1VG,VICTORY GOLDFIELDS LIMITED,0.100
29M,29METALS LIMITED,1.735
2BE,TUBI LIMITED,0.049
360,LIFE360 INC.,2.840
3DA,AMAERO INTERNATIONAL LTD,0.165
3DP,POINTERRA LIMITED ,0.240
3MF,3D METALFORGE LIMITED ,0.013
3PL,3P LEARNING LIMITED.. ,1.235
4DS,4DS MEMORY LIMITED,0.070
4DX,4DMEDICAL LIMITED ,0.590
5EA,5E ADVANCED MATERIALS INC.,1.835
5GG,PENTANET LIMITED,0.270
88E,88 ENERGY LIMITED ,0.008
8CO,8COMMON LIMITED ,0.110
8IH,8I HOLDINGS LTD ,0.081
8VI,8VI HOLDINGS LIMITED,1.350
92E,92 ENERGY LIMITED ,0.450
99L,99 LOYALTY LIMITED. ,0.025
9SP,9 SPOKES INTERNATIONAL LIMITED,0.004
A1G,AFRICAN GOLD LTD. ,0.094
A1M,AIC MINES LIMITED ,0.550
A2B,A2B AUSTRALIA LIMITED ,1.100
A2M,THE A2 MILK COMPANY LIMITED ,4.390
A3D,AURORA LABS LIMITED ,0.038
A4N,ALPHA HPA LIMITED ,0.415
A8G,AUSTRALASIAN METALS LIMITED ,0.200
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,2.160
AAJ,ARUMA RESOURCES LIMITED ,0.064
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,0.024
AAR,ASTRAL RESOURCES NL ,0.070
AAU,ANTILLES GOLD LIMITED ,0.061
ABA,AUSWIDE BANK LTD,6.090
ABB,AUSSIE BROADBAND LIMITED,3.310
ABC,ADBRI LIMITED ,2.420
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED ,0.220
ABV,ADVANCED BRAKING TECHNOLOGY LTD ,0.026
ABX,ABX GROUP LIMITED ,0.140
ABY,ADORE BEAUTY GROUP LIMITED,1.050
AC8,AUSCANN GROUP HOLDINGS LTD,0.037
ACB,A-CAP ENERGY LIMITED,0.063
ACF,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,0.505
ACL,AUSTRALIAN CLINICAL LABS LIMITED,4.590
ACP,AUDALIA RESOURCES LIMITED ,0.012
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED ,1.080
ACR,ACRUX LIMITED ,0.053
ACS,ACCENT RESOURCES NL ,0.046
ACU,ACUMENTIS GROUP LIMITED ,0.095
ACW,ACTINOGEN MEDICAL LIMITED ,0.050
AD1,AD1 HOLDINGS LIMITED,0.012
AD8,AUDINATE GROUP LIMITED,7.540
ADA,ADACEL TECHNOLOGIES LIMITED ,0.840
ADD,ADAVALE RESOURCES LIMITED ,0.021
ADH,ADAIRS LIMITED,1.910
ADN,ANDROMEDA METALS LIMITED,0.070
ADO,ANTEOTECH LTD ,0.065
ADR,ADHERIUM LIMITED,0.007
ADS,ADSLOT LTD. ,0.012
ADT,ADRIATIC METALS PLC ,1.950
ADV,ARDIDEN LTD ,0.007
ADX,ADX ENERGY LTD,0.008
ADY,ADMIRALTY RESOURCES NL. ,0.011
AE1,AERISON GROUP LTD ,0.110
AEE,AURA ENERGY LIMITED ,0.180
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED ,4.660
AEG,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,0.850
AEI,AERIS ENVIRONMENTAL LTD ,0.048
AER,AEERIS LTD,0.130
AEV,AVENIRA LIMITED ,0.009
AFA,ASF GROUP LIMITED ,0.050
AFG,AUSTRALIAN FINANCE GROUP LTD,1.510
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,7.510
AFL,AF LEGAL GROUP LTD,0.380
AFP,AFT PHARMACEUTICALS LIMITED ,3.350
AFW,APPLYFLOW LIMITED ,0.002
AGC,AUSTRALIAN GOLD AND COPPER LTD,0.070
AGD,AUSTRAL GOLD LIMITED,0.042
AGE,ALLIGATOR ENERGY LIMITED,0.049
AGENE,ALLIGATOR ENERGY LIMITED,-
AGG,ANGLOGOLD ASHANTI LIMITED ,4.340
AGH,ALTHEA GROUP HOLDINGS LIMITED ,0.059
AGI,AINSWORTH GAME TECHNOLOGY LIMITED ,0.960
AGL,AGL ENERGY LIMITED. ,8.250
AGN,ARGENICA THERAPEUTICS LIMITED ,0.430
AGR,AGUIA RESOURCES LIMITED ,0.069
AGS,ALLIANCE RESOURCES LIMITED,0.175
AGY,ARGOSY MINERALS LIMITED ,0.360
AHC,AUSTCO HEALTHCARE LIMITED ,0.100
AHI,ADVANCED HUMAN IMAGING LTD,0.120
AHK,ARK MINES LIMITED ,0.175
AHN,ATHENA RESOURCES LIMITED,0.019
AHQ,ALLEGIANCE COAL LIMITED ,0.480
AHX,APIAM ANIMAL HEALTH LIMITED ,0.685
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,6.480
AII,ALMONTY INDUSTRIES INC. ,0.950
AIM,AI-MEDIA TECHNOLOGIES LIMITED ,0.245
AIS,AERIS RESOURCES LIMITED ,0.067
AIV,ACTIVEX LIMITED ,0.030
AIZ,AIR NEW ZEALAND LIMITED ,0.505
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,0.038
AJL,AJ LUCAS GROUP LIMITED,0.054
AJQ,ARMOUR ENERGY LIMITED ,0.006
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED ,0.024
AJY,ASAPLUS RESOURCES LIMITED ,0.015
AKE,ALLKEM LIMITED,10.310
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED ,0.270
AKM,ASPIRE MINING LIMITED ,0.083
AKN,AUKING MINING LIMITED ,0.074
AKO,AKORA RESOURCES LIMITED ,0.180
AKP,AUDIO PIXELS HOLDINGS LIMITED ,17.800
AL3,AML3D LIMITED ,0.052
AL8,ALDERAN RESOURCES LIMITED ,0.011
ALA,AROVELLA THERAPEUTICS LIMITED ,0.023
ALB,ALBION RESOURCES LIMITED,0.078
ALC,ALCIDION GROUP LIMITED,0.110
ALD,AMPOL LIMITED ,34.230
ALG,ARDENT LEISURE GROUP LIMITED,1.400
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED ,2.320
ALK,ALKANE RESOURCES LIMITED,0.620
ALL,ARISTOCRAT LEISURE LIMITED,34.380
ALM,ALMA METALS LIMITED ,0.010
ALO,ALLOGGIO GROUP LIMITED,0.125
ALQ,ALS LIMITED ,10.680
ALT,ANALYTICA LIMITED ,0.001
ALU,ALTIUM LIMITED,26.910
ALV,ALVO MINERALS LIMITED ,0.220
ALX,ATLAS ARTERIA ,8.060
ALY,ALCHEMY RESOURCES LIMITED ,0.012
AM7,ARCADIA MINERALS LIMITED,0.155
AMA,AMA GROUP LIMITED ,0.170
AMC,AMCOR PLC ,18.040
AMD,ARROW MINERALS LTD,0.002
AME,ALTO METALS LIMITED ,0.070
AMH,AMCIL LIMITED ,1.075
AMI,AURELIA METALS LIMITED,0.255
AML,AEON METALS LIMITED.,0.020
AMM,ARMADA METALS LIMITED ,0.061
AMN,AGRIMIN LIMITED ,0.400
AMO,AMBERTECH LIMITED ,0.270
AMP,AMP LIMITED ,0.955
AMS,ATOMOS LIMITED,0.190
AMT,ALLEGRA ORTHOPAEDICS LIMITED,0.160
AMX,AEROMETREX LIMITED,0.300
AN1,ANAGENICS LIMITED ,0.023
AND,ANSARADA GROUP LIMITED,1.615
ANG,AUSTIN ENGINEERING LIMITED,0.233
ANL,AMANI GOLD LIMITED,0.001
ANN,ANSELL LIMITED,22.240
ANO,ADVANCE ZINCTEK LIMITED ,2.020
ANP,ANTISENSE THERAPEUTICS LIMITED,0.076
ANR,ANATARA LIFESCIENCES LTD,0.055
ANW,AUS TIN MINING LTD,0.001
ANX,ANAX METALS LIMITED ,0.077
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED ,22.030
AO1,ASSETOWL LIMITED,0.002
AOA,AUSMON RESOURCES LIMITED,0.006
AON,APOLLO MINERALS LIMITED ,0.053
AOU,AUROCH MINERALS LTD ,0.055
APC,AUSTRALIAN POTASH LIMITED ,0.045
APE,EAGERS AUTOMOTIVE LIMITED ,9.720
APG,AUSTPAC RESOURCES NL,0.002
APM,APM HUMAN SERVICES INTERNATIONAL LIMITED,2.870
APS,ALLUP SILICA LIMITED,0.084
APX,APPEN LIMITED ,5.610
AQC,AUSTRALIAN PACIFIC COAL LIMITED ,0.090
AQD,AUSQUEST LIMITED,0.021
AQI,ALICANTO MINERALS LIMITED ,0.065
AQN,AQUIRIAN LIMITED,0.300
AQS,AQUIS ENTERTAINMENT LIMITED ,0.120
AQX,ALICE QUEEN LIMITED ,0.003
AQZ,ALLIANCE AVIATION SERVICES LIMITED,3.570
AR1,AUSTRAL RESOURCES AUSTRALIA LTD ,0.530
