AZZG,ANTARES ENERGY LIMITED,1.920
CGNG,CRATER GOLD MINING LIMITED,20.000
CGRG,CML GROUP LIMITED ,1.120
CTNG,CONTANGO MICROCAP LIMITED ,100.250
HGOG,HILLGROVE RESOURCES LIMITED ,2.480
IANG,IAG FINANCE (NEW ZEALAND) LIMITED ,103.400
KBLGA,KBL MINING LIMITED,0.100
LKOGB,LAKES OIL NL,8.000
NFNG,NUFARM FINANCE (NZ) LIMITED ,86.210
RSGG,RESOLUTE MINING LIMITED ,1.000
SKSG,STOKES LIMITED,0.300
88EO,88 ENERGY LIMITED ,0.037
ADNOA,ANDROMEDA METALS LIMITED,0.002
AEGO,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,0.020
AGEO,ALLIGATOR ENERGY LIMITED,0.006
AGOOA,ATLAS IRON LIMITED,0.001
ALTOA,ANALYTICA LIMITED ,0.001
ANLO,AMANI GOLD LIMITED,0.002
ANPOB,ANTISENSE THERAPEUTICS LIMITED,0.010
AO1O,ASSETOWL LIMITED,0.050
AO1OA,ASSETOWL LIMITED,0.017
AOWOA,AMERICAN PATRIOT OIL & GAS LIMITED,0.001
APLO,ANTIPODES GLOBAL INVESTMENT COMPANY LTD ,0.140
AQDOA,AUSQUEST LIMITED,0.001
AQXO,ALICE QUEEN LIMITED ,0.014
ARCO,AUSTRALIAN RURAL CAPITAL LIMITED,0.140
ARDO,ARGENT MINERALS LIMITED ,0.008
ARVO,ARTEMIS RESOURCES LIMITED ,0.046
ASNOA,ANSON RESOURCES LIMITED ,0.001
AU1O,AUSNET FINANCIAL SERVICES LIMITED ,0.004
AUROA,AURIS MINERALS LIMITED,0.002
AUROB,AURIS MINERALS LIMITED,0.003
AVIO,AVALON MINERALS LIMITED ,0.004
AVLO,AUSTRALIAN VANADIUM LIMITED ,0.007
AVQO,AXIOM MINING LIMITED,0.023
AVZO,AVZ MINERALS LIMITED,0.021
BASO,BASS OIL LIMITED,0.001
BHDO,BENJAMIN HORNIGOLD LIMITED,0.190
BIDO,BIDENERGY LIMITED ,0.008
BIGO,BIG UN LIMITED,0.975
BITOA,BIOTRON LIMITED ,0.003
BKTOD,BLACK ROCK MINING LIMITED ,0.035
BMGOA,BMG RESOURCES LIMITED ,0.004
BPLO,BROKEN HILL PROSPECTING LIMITED ,0.004
BRKO,BROOKSIDE ENERGY LIMITED,0.002
BSMOB,BASS METALS LTD ,0.002
BSNO,BISAN LIMITED ,0.003
BSPO,BLACK STAR PETROLEUM LIMITED,0.001
CA8O,COASSETS LIMITED. ,0.005
CADO,CAENEUS MINERALS LTD,0.001
CAIO,CALIDUS RESOURCES LIMITED ,0.010
CAZO,CAZALY RESOURCES LIMITED,0.005
CBSO,CABRAL RESOURCES LIMITED,0.006
CDVOA,CARDINAL RESOURCES LIMITED,0.380
CHKO,COHIBA MINERALS LIMITED ,0.005
CIEO,CONTANGO INCOME GENERATORLIMITED,0.005
CIZOA,CORIZON LIMITED ,0.008
CLAO,CELSIUS RESOURCES LIMITED ,0.020
CLYO,CLANCY EXPLORATION LIMITED,0.002
CMCOA,CHINA MAGNESIUM CORPORATION LIMITED ,-
COBO,COBALT BLUE HOLDINGS LIMITED,0.045
CQGO,CONTANGO GLOBAL GROWTH LIMITED,0.033
CR8OA,CRE8TEK LIMITED ,0.005
CTLO,CENTENNIAL MINING LIMITED ,0.006
CTMOA,CENTAURUS METALS LIMITED,0.003
CV1O,CV CHECK LTD,0.001
CXOOA,CORE EXPLORATION LIMITED,0.024
CYLO,CATALYST METALS LIMITED ,0.050
D2OO,DUXTON WATER LIMITED,0.021
DDDO,3D RESOURCES LIMITED,0.002
DEGO,DE GREY MINING LIMITED,0.009
DMIOA,DEMPSEY MINERALS LIMITED,0.018
DRKOB,DRAKE RESOURCES LIMITED ,-
DROO,DRONESHIELD LIMITED ,0.074
DYLO,DEEP YELLOW LIMITED ,0.072
EAIO,ELLERSTON ASIAN INVESTMENTS LIMITED ,0.030
EDEO,EDEN INNOVATIONS LTD,0.215
EGAO,EGAN STREET RESOURCES LIMITED ,0.047
EGIO,ELLERSTON GLOBAL INVESTMENTS LIMITED,0.050
EGOO,EMPIRE OIL & GAS NL ,0.010
ELKO,ELK PETROLEUM LIMITED ,0.002
ESHO,ESPORTS MOGUL ASIA PACIFIC LIMITED,0.002
ESIOA,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED,0.003
ESIOB,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED,0.001
FCGO,FRONTIER CAPITAL GROUP LIMITED,-
FGFOA,FIRST GROWTH FUNDS LIMITED,0.002
FGFOC,FIRST GROWTH FUNDS LIMITED,0.001
FGGO,FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED ,0.007
FPLO,FREMONT PETROLEUM CORPORATION LIMITED ,-
FPLOA,FREMONT PETROLEUM CORPORATION LIMITED ,0.003
FTZO,FERTOZ LIMITED,0.004
GBZOA,GBM RESOURCES LIMITED ,0.003
GGGOB,GREENLAND MINERALS AND ENERGY LIMITED ,0.038
GMCO,GULF MANGANESE CORPORATION LIMITED,0.006
GPPO,GREENPOWER ENERGY LIMITED ,0.014
HE8OA,HELIOS ENERGY LTD ,-
HEGOC,HILL END GOLD LIMITED ,0.020
HGOOA,HILLGROVE RESOURCES LIMITED ,0.051
HMLO,HENRY MORGAN LIMITED,0.820
HMLOA,HENRY MORGAN LIMITED,-
HZRO,HAZER GROUP LIMITED ,0.235
IAMOA,INTIGER GROUP LIMITED ,0.031
ICIO,ICANDY INTERACTIVE LIMITED,0.004
ICTO,ICOLLEGE LIMITED,0.001
ICTOB,ICOLLEGE LIMITED,0.003
ICUO,ISENTRIC LIMITED. ,0.023
IHLOA,IMPRESSION HEALTHCARE LIMITED ,0.002
IMCOB,IMMURON LIMITED ,0.100
IMIOA,IM MEDICAL LTD,-
IPTOA,IMPACT MINERALS LIMITED ,0.003
IRCOA,INTERMIN RESOURCES LIMITED,0.017
IVOO,INVIGOR GROUP LIMITED ,0.001
JRVOC,JERVOIS MINING LIMITED,0.020
K2FOA,K2FLY LIMITED ,-
KAIOE,KAIROS MINERALS LIMITED ,0.002
KBLO,KBL MINING LIMITED,0.001
KBUO,KABUNI LTD,0.007
KBUOA,KABUNI LTD,0.001
KDRO,KIDMAN RESOURCES LIMITED,0.425
KPOOD,KALINA POWER LIMITED,0.010
KRCOA,KING RIVER COPPER LIMITED ,0.002
KTAOB,KRAKATOA RESOURCES LIMITED,0.003
LCKO,LEIGH CREEK ENERGY LIMITED,0.016
LCROA,LACONIA RESOURCES LIMITED ,-
LHBO,LIONHUB GROUP LIMITED ,0.012
LHMO,LAND & HOMES GROUP LIMITED,0.012
LINO,LINDIAN RESOURCES LIMITED ,0.001
LKEO,LAKE RESOURCES N.L. ,0.006
LOMOA,LUCAPA DIAMOND COMPANY LIMITED,0.093
LPIO,LITHIUM POWER INTERNATIONAL LIMITED ,0.020
LSROA,LODESTAR MINERALS LIMITED ,0.002
MA1O,MONASH ABSOLUTE INVESTMENT COMPANY LIMITED,0.001
MECO,MORPHIC ETHICAL EQUITIES FUND LIMITED ,0.033
MEDOB,MERLIN DIAMONDS LIMITED ,0.005
MEPO,MINOTAUR EXPLORATION LTD,0.010
MFFO,MFF CAPITAL INVESTMENTS LIMITED ,0.945
MJCO,MEJORITY CAPITAL LIMITED,-
MLMOA,METALLICA MINERALS LIMITED,0.013
MLSO,METALS AUSTRALIA LTD,0.002
MLSOA,METALS AUSTRALIA LTD,0.002
MNMOC,MANTLE MINING CORPORATION LIMITED ,0.001
MNYO,MONEY3 CORPORATION LIMITED,0.150
MODO,MOD RESOURCES LIMITED ,0.046
MPEO,MAGNUM GAS & POWER LIMITED,-
MRQOA,MRG METALS LIMITED,0.002
MSGOA,MCS SERVICES LIMITED,0.001
MUSOA,MUSTANG RESOURCES LIMITED ,0.028
MXCOD,MGC PHARMACEUTICALS LTD ,0.018
NIUO,NIUMINCO GROUP LIMITED,0.001
NRTO,NOVOGEN LIMITED ,0.003
NTLO,NEW TALISMAN GOLD MINES LIMITED ,0.002
OGXOC,ORINOCO GOLD LIMITED,0.001
OGXOD,ORINOCO GOLD LIMITED,0.012
OMTO,OMNI MARKET TIDE LTD,0.002
OPTO,OPTHEA LIMITED,0.500
OZGOB,OZGROWTH LIMITED,0.003
PAKO,PACIFIC AMERICAN COAL LIMITED ,0.002
PENOD,PENINSULA ENERGY LIMITED,0.030
PGIOA,PANTERRA GOLD LIMITED ,0.050
PIOO,PIONEER RESOURCES LIMITED ,0.004
