AGLIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),7.420
AGLISA,UBS AG,1.745
AGLISI,UBS AG,-
AGLISZ,UBS AG,-
AGLIYA,COMMONWEALTH BANK OF AUSTRALIA.                             ,8.620
AGLIYB,COMMONWEALTH BANK OF AUSTRALIA.                             ,5.630
AGLIYE,COMMONWEALTH BANK OF AUSTRALIA.                             ,8.630
AGLIYF,COMMONWEALTH BANK OF AUSTRALIA.                             ,6.100
AGLJOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),6.890
AGLJOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),5.910
AGLJOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.130
AGLKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.820
AGLKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.750
AGLKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.760
AGLKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLKOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.800
AGLSMY,MACQUARIE BANK LIMITED.,5.220
AGLSO1,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),8.100
AGLSOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AGLSRT,THE ROYAL BANK OF SCOTLAND PLC,7.640
AGLSRU,THE ROYAL BANK OF SCOTLAND PLC,9.560
AGLSS1,UBS AG,0.935
AGLSSA,UBS AG,6.700
AGLSSM,UBS AG,1.165
AGLSSN,UBS AG,-
AGLSSP,UBS AG,-
AGLSSR,UBS AG,9.740
AGLSSW,UBS AG,-
AGLSWG,WESTPAC BANKING CORPORATION                                 ,10.570
AGLSWR,WESTPAC BANKING CORPORATION                                 ,8.800
AGLSZC,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,8.050
AGLSZX,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,9.120
AGO,ATLAS IRON LIMITED,0.120
AGOKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.170
AGOKOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.660
AGOKOS,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.260
AGOKOU,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.255
AGOKOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.440
AGOSWG,WESTPAC BANKING CORPORATION                                 ,0.050
AGR,AGUIA RESOURCES LIMITED,0.160
AGS,ALLIANCE RESOURCES LIMITED,0.082
AGX,AGENIX LIMITED,0.012
AGY,ARGOSY MINERALS LIMITED,0.003
AHA,AG FINANCIAL LTD,0.009
AHD,AMALGAMATED HOLDINGS LIMITED,12.540
AHF,AUSTRALIAN DAIRY FARMS GROUP,0.200
AHG,AUTOMOTIVE HOLDINGS GROUP LIMITED.,3.990
AHJ,AIR CHANGE INTERNATIONAL LIMITED,-
AHK,ARK MINES LIMITED,0.052
AHN,ATHENA RESOURCES LIMITED,0.009
AHQ,ALLEGIANCE COAL LIMITED,0.008
AHR,ANCHOR RESOURCES LIMITED,0.025
AHY,ASALEO CARE LIMITED,1.900
AHZ,ADMEDUS LTD,0.070
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,4.380
AIB,AURORA GLOBAL INCOME TRUST,0.890
AIK,ARMIDALE INVESTMENT CORPORATION LIMITED,0.100
AIO,ASCIANO LIMITED,6.650
AIOIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AIOISI,UBS AG,-
AIOKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.225
